 esta     101 &  1.274E-01 &   5 &   25 &  8.140E-03 &  1.628E-03 &  3.256E-04 &  1.790E+01 \\
 esta     102 &  1.240E-01 &   3 &   14 &  4.638E-03 &  1.546E-03 &  3.313E-04 &  1.735E+01 \\
 esta     103 &  1.282E-01 &  22 &   44 &  3.933E-02 &  1.788E-03 &  8.938E-04 &  1.875E+01 \\
 esta     104 &  1.242E-01 &   7 &   32 &  2.085E-02 &  2.978E-03 &  6.515E-04 &  1.918E+01 \\
 esta     105 &  1.230E-01 &   5 &   19 &  3.896E-03 &  7.792E-04 &  2.051E-04 &  1.951E+01 \\
 esta     106 &  1.181E-01 &   6 &   26 &  1.429E-02 &  2.382E-03 &  5.497E-04 &  1.901E+01 \\
 esta     107 &  1.226E-01 &   6 &   26 &  1.695E-02 &  2.826E-03 &  6.520E-04 &  1.864E+01 \\
 esta     108 &  1.202E-01 &   6 &   26 &  1.729E-02 &  2.882E-03 &  6.651E-04 &  1.965E+01 \\
 esta     109 &  1.232E-01 &   7 &   31 &  2.989E-02 &  4.270E-03 &  9.642E-04 &  1.930E+01 \\
 esta     110 &  1.221E-01 &   7 &   33 &  1.303E-02 &  1.861E-03 &  3.948E-04 &  1.878E+01 \\
 esta     111 &  1.176E-01 &   6 &   29 &  9.862E-03 &  1.644E-03 &  3.401E-04 &  2.002E+01 \\
 esta     112 &  1.176E-01 &   8 &   37 &  5.748E-02 &  7.185E-03 &  1.554E-03 &  2.037E+01 \\
 esta     113 &  1.170E-01 &   6 &   27 &  5.324E-03 &  8.873E-04 &  1.972E-04 &  2.028E+01 \\
 esta     114 &  1.169E-01 &  14 &   48 &  3.320E-02 &  2.372E-03 &  6.917E-04 &  2.080E+01 \\
 esta     115 &  1.158E-01 &   9 &   39 &  3.073E-02 &  3.414E-03 &  7.879E-04 &  2.279E+01 \\
 esta     116 &  1.158E-01 &  13 &   53 &  3.980E-02 &  3.061E-03 &  7.509E-04 &  2.121E+01 \\
 esta     117 &  1.182E-01 &   6 &   28 &  1.234E-02 &  2.056E-03 &  4.405E-04 &  2.181E+01 \\
 esta     118 &  1.161E-01 &   8 &   28 &  1.929E-02 &  2.411E-03 &  6.890E-04 &  2.127E+01 \\
 esta     119 &  1.144E-01 &   7 &   34 &  2.119E-02 &  3.028E-03 &  6.233E-04 &  2.228E+01 \\
 esta     120 &  1.163E-01 &  13 &   38 &  5.168E-02 &  3.976E-03 &  1.360E-03 &  2.185E+01 \\
