 esta  100000 &  4.658E-01 &   4 &   12 &  9.903E-01 &  2.476E-01 &  8.252E-02 &  1.237E+02 \\
 esta  101000 &  4.561E-01 &   2 &    7 &  5.536E-01 &  2.768E-01 &  7.908E-02 &  1.206E+02 \\
 esta  102000 &  4.473E-01 &   5 &   16 &  1.311E+00 &  2.622E-01 &  8.192E-02 &  1.151E+02 \\
 esta  103000 &  3.656E-01 &   4 &   17 &  1.520E+00 &  3.800E-01 &  8.941E-02 &  1.065E+02 \\
 esta  104000 &  4.217E-01 &   6 &   17 &  1.525E+00 &  2.542E-01 &  8.973E-02 &  1.163E+02 \\
 esta  105000 &  4.230E-01 &   4 &   13 &  1.127E+00 &  2.819E-01 &  8.673E-02 &  1.267E+02 \\
 esta  106000 &  4.065E-01 &   6 &   24 &  2.466E+00 &  4.109E-01 &  1.027E-01 &  1.100E+02 \\
 esta  107000 &  4.080E-01 &   3 &   19 &  1.601E+00 &  5.336E-01 &  8.425E-02 &  1.165E+02 \\
 esta  108000 &  1.863E-01 &   4 &   13 &  1.068E+00 &  2.669E-01 &  8.213E-02 &  1.146E+02 \\
 esta  109000 &  3.938E-01 &   4 &   20 &  1.675E+00 &  4.187E-01 &  8.375E-02 &  1.171E+02 \\
 esta  110000 &  3.871E-01 &   3 &   12 &  9.677E-01 &  3.226E-01 &  8.064E-02 &  1.125E+02 \\
 esta  111000 &  3.809E-01 &   5 &   15 &  1.251E+00 &  2.502E-01 &  8.341E-02 &  1.118E+02 \\
 esta  112000 &  3.752E-01 &   5 &   20 &  1.600E+00 &  3.200E-01 &  7.999E-02 &  1.146E+02 \\
 esta  113000 &  3.690E-01 &   4 &   13 &  1.113E+00 &  2.783E-01 &  8.562E-02 &  1.034E+02 \\
 esta  114000 &  3.317E-01 &   5 &   14 &  1.238E+00 &  2.477E-01 &  8.846E-02 &  1.165E+02 \\
 esta  115000 &  3.576E-01 &   3 &   11 &  8.916E-01 &  2.972E-01 &  8.105E-02 &  1.173E+02 \\
 esta  116000 &  3.520E-01 &   3 &   13 &  1.030E+00 &  3.432E-01 &  7.920E-02 &  1.214E+02 \\
 esta  117000 &  3.471E-01 &   2 &   11 &  9.267E-01 &  4.634E-01 &  8.425E-02 &  1.134E+02 \\
 esta  118000 &  3.431E-01 &   5 &   18 &  1.435E+00 &  2.870E-01 &  7.972E-02 &  1.183E+02 \\
 esta  119000 &  3.396E-01 &   2 &    7 &  5.997E-01 &  2.999E-01 &  8.567E-02 &  1.153E+02 \\
 esta  120000 &  3.363E-01 &   4 &   16 &  1.301E+00 &  3.252E-01 &  8.129E-02 &  1.116E+02 \\
 esta  121000 &  3.331E-01 &   2 &    8 &  6.333E-01 &  3.167E-01 &  7.916E-02 &  1.147E+02 \\
 esta  122000 &  3.214E-01 &   3 &   12 &  9.629E-01 &  3.210E-01 &  8.024E-02 &  1.121E+02 \\
 esta  123000 &  3.274E-01 &   2 &    7 &  5.552E-01 &  2.776E-01 &  7.931E-02 &  1.146E+02 \\
 esta  124000 &  3.247E-01 &   2 &    8 &  6.632E-01 &  3.316E-01 &  8.290E-02 &  1.156E+02 \\
 esta  125000 &  2.403E-01 &   5 &   14 &  1.178E+00 &  2.356E-01 &  8.413E-02 &  1.171E+02 \\
