 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
       3             5        6.865255E-02      5.358904E-01       1     1.0
       4             5        6.808673E-02      6.085007E-01       1     1.0
       5             5        6.387027E-02      5.211403E-01       1     1.0
       6             4        6.349622E-02      3.393614E-01       2     1.0
       7             5        6.118982E-02      3.807022E-01       1     1.0
       8             5        5.964900E-02      3.765600E-01       1     1.0
       9             4        5.834505E-02      1.277380E-01       2     1.0
      10             3        5.458493E-02      9.958295E-02       3     1.0
      11             3        5.104396E-02      9.658549E-02       3     1.0
      12             5        5.064129E-02      1.587798E-01       2     1.0
      13             4        5.006037E-02      8.561617E-02       4     1.0
      14             4        4.948572E-02      8.515262E-02       4     1.0
      15             3        4.809303E-02      5.966359E-02       6     1.0
      16             4        4.773747E-02      6.687583E-02       5     1.0
      17             4        4.745878E-02      5.915357E-02       6     1.0
      18             2        4.736090E-02      7.871460E-03       9     1.0
      19             2        4.726448E-02      7.905058E-03       7     1.0
      20             2        4.716978E-02      7.939575E-03       7     1.0
      21             2        4.707707E-02      7.975132E-03       7     1.0
      22             2        4.698667E-02      8.011782E-03       7     1.0
      23             2        4.689938E-02      7.347471E-03       8     1.0
      24             2        4.681431E-02      7.340338E-03       8     1.0
      25             2        4.673039E-02      8.113651E-03       6     1.0
      26             2        4.663838E-02      8.345326E-03       6     1.0
      27             2        4.656140E-02      7.373033E-03       7     1.0
      28             2        4.648776E-02      7.372733E-03       7     1.0
      29             5        4.640823E-02      7.052785E-02       6     1.0
      30             1        4.640226E-02      9.441812E-04       8     1.0
 -----------------------------------------------------------------------------
table  2 &  4.640E-02 &  30 & 100 &  1.737E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        7.984052E-02            -            3      -
       1             3        6.631878E-02      1.880728E-01       3     1.0
       2             4        5.665208E-02      3.397347E-01       3     1.0
       3             4        5.087590E-02      3.272181E-01       4     1.0
       4             5        5.016515E-02      3.653662E-01       1     1.0
       5             5        4.990681E-02      3.150465E-01       3     1.0
       6             5        4.977263E-02      3.356358E-01       3     1.0
       7             5        4.950508E-02      3.145511E-01       3     1.0
       8             6        4.913756E-02      3.344263E-01       3     1.0
       9             4        4.857340E-02      1.004892E-01       5     1.0
      10             3        4.806759E-02      6.479166E-02       5     1.0
      11             6        4.758355E-02      3.892885E-01       2     1.0
      12             4        4.754006E-02      2.354354E-02       4     1.0
      13             2        4.716011E-02      1.612786E-02       5     1.0
      14             3        4.714328E-02      2.256543E-02       4     1.0
      15             6        4.682051E-02      3.177634E-01       3     1.0
      16             2        4.627732E-02      1.536746E-02       6     1.0
      17             3        4.619055E-02      1.524651E-02       5     1.0
      18             1        4.614932E-02      1.305377E-03       6     1.0
      19             1        4.610917E-02      1.300964E-03       5     1.0
      20             1        4.607018E-02      1.295940E-03       5     1.0
      21             1        4.603236E-02      1.290380E-03       5     1.0
      22             1        4.599574E-02      1.284360E-03       5     1.0
      23             1        4.596032E-02      1.277952E-03       5     1.0
      24             1        4.592609E-02      1.271225E-03       5     1.0
      25             1        4.589304E-02      1.264246E-03       5     1.0
      26             1        4.586952E-02      1.221608E-03       6     1.0
      27             1        4.584883E-02      1.217180E-03       6     1.0
      28             1        4.584642E-02      5.010964E-04       7     1.0
 -----------------------------------------------------------------------------
table  3 &  4.585E-02 &  28 &  82 &  1.964E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        7.922719E-02            -            3      -
       1             3        6.571031E-02      1.880728E-01       3     1.0
       2             4        5.653091E-02      3.397347E-01       3     1.0
       3             4        4.892457E-02      3.272181E-01       4     1.0
       4             4        4.841040E-02      8.009517E-02       5     1.0
       5             2        4.273539E-02      5.542917E-02       6     1.0
       6             4        4.226948E-02      7.430755E-02       5     1.0
       7             4        4.185396E-02      7.257226E-02       6     1.0
       8             3        4.084420E-02      5.107464E-02       7     1.0
       9             3        3.986376E-02      5.033208E-02       7     1.0
      10             3        3.957656E-02      4.956313E-02       7     1.0
      11             5        3.918630E-02      1.563202E-01       3     1.0
      12             2        3.918213E-02      1.521287E-03       7     1.0
      13             1        3.917310E-02      7.539591E-04       9     1.0
 -----------------------------------------------------------------------------
table  4 &  3.917E-02 &  13 &  43 &  1.198E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        7.916903E-02            -            3      -
       1             3        6.565262E-02      1.880728E-01       3     1.0
       2             4        5.624317E-02      3.397347E-01       3     1.0
       3             4        5.001614E-02      3.456369E-01       3     1.0
       4             5        4.870292E-02      3.569546E-01       3     1.0
       5             4        4.813361E-02      8.430939E-02       4     1.0
       6             3        4.775043E-02      1.723792E-02       5     1.0
       7             1        4.654840E-02      1.559608E-02       7     1.0
       8             4        3.933137E-02      3.688185E-01       2     1.0
       9             5        3.848626E-02      2.304657E-01       2     1.0
      10             4        3.811256E-02      6.810463E-02       4     1.0
      11             4        3.799811E-02      3.788881E-02       6     1.0
      12             4        3.788388E-02      3.785304E-02       6     1.0
      13             3        3.768350E-02      2.240401E-02       6     1.0
      14             2        3.760009E-02      7.145522E-03       7     1.0
      15             2        3.751388E-02      7.277862E-03       7     1.0
      16             2        3.742471E-02      7.412799E-03       7     1.0
      17             2        3.735836E-02      6.450522E-03       8     1.0
      18             1        3.705371E-02      6.534526E-04       9     1.0
 -----------------------------------------------------------------------------
table  5 &  3.705E-02 &  18 &  58 &  1.412E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        5.812248E-02            -            2      -
       1             3        4.412577E-02      2.474743E-01       2     1.0
       2             4        3.796157E-02      5.008475E-01       1     1.0
       3             5        3.764575E-02      1.405635E-01       5     1.0
       4             1        3.752574E-02      6.011512E-03       6     1.0
       5             3        3.685192E-02      3.049741E-02       6     1.0
       6             1        3.666362E-02      1.062026E-03       5     1.0
       7             1        3.665264E-02      1.069695E-03       4     1.0
       8             1        3.664110E-02      1.093777E-03       4     1.0
       9             1        3.662896E-02      1.118868E-03       4     1.0
      10             1        3.661617E-02      1.144989E-03       4     1.0
      11             2        3.661343E-02      1.172156E-03       4     1.0
      12             2        3.661067E-02      1.177790E-03       4     1.0
      13             1        3.659876E-02      1.098375E-03       5     1.0
      14             1        3.658634E-02      1.120104E-03       5     1.0
      15             1        3.657336E-02      1.142558E-03       5     1.0
      16             1        3.655982E-02      1.165747E-03       5     1.0
      17             1        3.654566E-02      1.189679E-03       5     1.0
      18             1        3.653087E-02      1.214360E-03       5     1.0
      19             1        3.651545E-02      1.237356E-03       6     1.0
      20             1        3.650029E-02      1.232759E-03       7     1.0
      21             1        3.648444E-02      1.258632E-03       7     1.0
      22             1        3.646788E-02      1.285114E-03       7     1.0
      23             1        3.645056E-02      1.312197E-03       7     1.0
      24             1        3.643247E-02      1.339871E-03       7     1.0
      25             1        3.641356E-02      1.368123E-03       7     1.0
      26             1        3.639381E-02      1.396935E-03       7     1.0
      27             1        3.637318E-02      1.426286E-03       7     1.0
      28             1        3.635164E-02      1.456151E-03       7     1.0
      29             1        3.632916E-02      1.486498E-03       7     1.0
      30             1        3.632848E-02      2.865327E-04       9     1.0
 -----------------------------------------------------------------------------
table  6 &  3.633E-02 &  30 &  44 &  1.805E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        5.771947E-02            -            2      -
       1             3        4.102280E-02      2.474743E-01       2     1.0
       2             4        3.973305E-02      3.018134E-01       2     1.0
       3             4        3.671719E-02      2.082951E-01       4     1.0
       4             1        3.652216E-02      5.998154E-03       6     1.0
       5             2        3.652016E-02      1.050759E-03       6     1.0
       6             2        3.651814E-02      1.055686E-03       6     1.0
       7             1        3.651220E-02      9.929387E-04       7     1.0
 -----------------------------------------------------------------------------
table  7 &  3.651E-02 &   7 &  18 &  5.931E-03 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        4.563550E-02            -            3      -
       1             4        4.241149E-02      2.025790E-01       3     1.0
       2             4        3.804459E-02      2.355469E-01       3     1.0
       3             5        3.754908E-02      2.277255E-01       3     1.0
       4             3        3.742485E-02      6.188827E-02       5     1.0
       5             6        3.712994E-02      3.038367E-01       1     1.0
       6             2        3.704825E-02      6.677197E-03       2     1.0
       7             2        3.696966E-02      6.519998E-03       2     1.0
       8             1        3.695743E-02      1.037733E-03       4     1.0
       9             2        3.695511E-02      1.061866E-03       3     1.0
      10             1        3.694394E-02      9.989126E-04       4     1.0
 -----------------------------------------------------------------------------
table  8 &  3.694E-02 &  10 &  31 &  5.521E-03 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        4.539938E-02            -            3      -
       1             4        4.217567E-02      2.025790E-01       3     1.0
       2             4        3.778627E-02      2.355469E-01       3     1.0
       3             1        3.737932E-02      6.960837E-03       5     1.0
       4             3        3.701051E-02      3.003014E-02       3     1.0
       5             1        3.700468E-02      1.050217E-03       4     1.0
       6             1        3.699868E-02      1.008152E-03       5     1.0
       7             1        3.699249E-02      1.028502E-03       4     1.0
       8             1        3.698608E-02      1.049676E-03       4     1.0
       9             1        3.697944E-02      1.071701E-03       4     1.0
      10             1        3.697256E-02      1.094602E-03       4     1.0
      11             1        3.696543E-02      1.118405E-03       4     1.0
      12             1        3.695803E-02      1.143133E-03       4     1.0
      13             1        3.695036E-02      1.168809E-03       4     1.0
      14             1        3.694238E-02      1.195452E-03       4     1.0
      15             1        3.693409E-02      1.223080E-03       4     1.0
      16             1        3.692544E-02      1.230175E-03       5     1.0
      17             1        3.691638E-02      1.256645E-03       5     1.0
      18             1        3.690688E-02      1.283768E-03       5     1.0
      19             1        3.689691E-02      1.311520E-03       5     1.0
      20             1        3.688646E-02      1.339873E-03       5     1.0
      21             1        3.687548E-02      1.368795E-03       5     1.0
      22             1        3.686483E-02      1.436028E-03       4     1.0
      23             1        3.685267E-02      1.430552E-03       5     1.0
      24             1        3.683989E-02      1.461006E-03       5     1.0
      25             1        3.682646E-02      1.491846E-03       5     1.0
      26             1        3.681234E-02      1.523014E-03       5     1.0
      27             1        3.679340E-02      1.554442E-03       5     1.0
      28             1        3.672666E-02      8.524693E-04       6     1.0
 -----------------------------------------------------------------------------
table  9 &  3.673E-02 &  28 &  37 &  1.089E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        4.493527E-02            -            3      -
       1             4        4.214121E-02      2.025790E-01       3     1.0
       2             4        3.778084E-02      2.355469E-01       3     1.0
       3             1        3.665478E-02      6.960837E-03       5     1.0
       4             1        3.664282E-02      1.027782E-03       3     1.0
       5             1        3.640269E-02      9.864328E-04       5     1.0
 -----------------------------------------------------------------------------
table 10 &  3.640E-02 &   5 &  12 &  3.006E-03 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        4.269971E-02            -            1      -
       1             3        3.158094E-02      1.872025E-01       1     1.0
       2             5        3.056133E-02      2.535829E-01       2     1.0
       3             3        2.915541E-02      1.314847E-01       3     1.0
       4             5        2.742422E-02      3.318483E-01       1     1.0
       5             5        2.724727E-02      3.202782E-01       1     1.0
       6             6        2.694306E-02      3.086807E-01       1     1.0
       7             2        2.668785E-02      1.301091E-02       2     1.0
       8             2        2.643932E-02      1.286899E-02       2     1.0
       9             2        2.620403E-02      1.191975E-02       2     1.0
      10             1        2.615680E-02      1.567588E-03       3     1.0
      11             2        2.615093E-02      1.567520E-03       3     1.0
      12             1        2.614518E-02      6.364750E-04       4     1.0
 -----------------------------------------------------------------------------
table 11 &  2.615E-02 &  12 &  38 &  5.732E-03 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        3.628344E-02            -            1      -
       1             3        3.500794E-02      2.258862E-01       1     1.0
       2             5        3.407379E-02      2.422590E-01       1     1.0
       3             5        3.327526E-02      2.397371E-01       1     1.0
       4             2        2.431670E-02      9.249090E-02       4     1.0
       5             5        2.368273E-02      1.997347E-01       2     1.0
       6             5        2.306670E-02      1.968873E-01       2     1.0
       7             1        2.306348E-02      5.822429E-04       3     1.0
 -----------------------------------------------------------------------------
table 12 &  2.306E-02 &   7 &  27 &  4.190E-03 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        3.028508E-02            -            2      -
       1             3        1.707436E-02      2.155242E-01       2     1.0
       2             4        1.575127E-02      2.424163E-01       1     1.0
       3             4        1.527708E-02      1.838952E-01       1     1.0
       4             4        1.517406E-02      1.641044E-01       3     1.0
       5             5        1.465748E-02      1.804284E-01       1     1.0
       6             5        1.415780E-02      1.774536E-01       1     1.0
       7             1        1.152012E-02      2.011357E-02       3     1.0
       8             3        1.056307E-02      1.068001E-01       2     1.0
       9             2        1.002652E-02      2.159681E-02       2     1.0
      10             2        9.371379E-03      1.756351E-02       3     1.0
      11             1        9.316022E-03      1.281973E-02       6     1.0
      12             4        8.393663E-03      1.046373E-01       3     1.0
      13             4        7.964220E-03      6.943202E-02       5     1.0
      14             2        7.544860E-03      8.590584E-03       7     1.0
      15             2        7.332619E-03      6.777206E-03      10     1.0
      16             1        6.959613E-03      6.099135E-03      11     1.0
      17             1        6.472450E-03      6.874602E-03       6     1.0
      18             1        5.828373E-03      7.808143E-03       6     1.0
      19             2        5.653109E-03      9.285883E-03       6     1.0
      20             1        5.063568E-03      8.589315E-03       8     1.0
      21             2        5.055878E-03      1.388541E-02       5     1.0
      22             2        4.848972E-03      9.783140E-03       6     1.0
      23             2        4.644177E-03      9.754085E-03       6     1.0
      24             1        4.034023E-03      9.226173E-03       8     1.0
      25             1        3.722754E-03      8.115345E-03       9     1.0
      26             1        3.714398E-03      8.909767E-04       8     1.0
 -----------------------------------------------------------------------------
table 13 &  3.714E-03 &  26 &  62 &  1.552E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        2.962088E-02            -            2      -
       1             3        1.597624E-02      2.155242E-01       2     1.0
       2             4        1.368446E-02      2.428300E-01       1     1.0
       3             1        1.023482E-02      2.226531E-02       4     1.0
       4             3        9.677245E-03      1.001396E-01       2     1.0
       5             5        9.365481E-03      1.401506E-01       1     1.0
       6             2        8.865353E-03      2.092102E-02       2     1.0
       7             4        8.812611E-03      1.117959E-01       2     1.0
       8             4        8.470821E-03      6.567611E-02       4     1.0
       9             2        7.979408E-03      1.273862E-02       5     1.0
      10             1        7.309092E-03      1.116110E-02       7     1.0
      11             3        7.008737E-03      2.756192E-02       7     1.0
      12             2        6.923538E-03      6.344075E-03       9     1.0
      13             1        6.111694E-03      5.685758E-03      10     1.0
      14             2        6.034478E-03      6.301649E-03       8     1.0
      15             1        5.712667E-03      6.087908E-03       9     1.0
      16             1        5.497468E-03      5.790462E-03       8     1.0
      17             1        4.913486E-03      7.555114E-03       8     1.0
      18             2        4.701818E-03      1.129475E-02       9     1.0
      19             2        4.577314E-03      7.572438E-03       7     1.0
      20             1        4.111203E-03      7.109649E-03       9     1.0
      21             1        3.837776E-03      5.829430E-03      10     1.0
      22             1        3.828062E-03      2.331531E-04      12     1.0
 -----------------------------------------------------------------------------
table 14 &  3.828E-03 &  22 &  48 &  1.660E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        2.637181E-02            -            3      -
       1             3        1.685347E-02      1.873031E-01       3     1.0
       2             3        1.646655E-02      1.899147E-01       2     1.0
       3             4        1.423791E-02      1.675128E-01       2     1.0
       4             4        1.301149E-02      1.565823E-01       2     1.0
       5             1        1.129268E-02      2.311926E-02       4     1.0
       6             3        1.033218E-02      1.449119E-01       1     1.0
       7             4        9.842922E-03      1.386683E-01       2     1.0
       8             2        9.036682E-03      2.031695E-02       2     1.0
       9             2        8.733516E-03      1.201556E-02       4     1.0
      10             2        8.425241E-03      1.209022E-02       4     1.0
      11             1        8.379645E-03      1.191518E-02       5     1.0
      12             3        7.860777E-03      3.644431E-02       5     1.0
      13             3        7.375014E-03      3.526751E-02       5     1.0
      14             2        7.286482E-03      6.793558E-03       8     1.0
      15             2        7.192621E-03      6.996408E-03       8     1.0
      16             2        7.093077E-03      7.206350E-03       7     1.0
      17             1        6.740495E-03      6.366040E-03       7     1.0
      18             3        6.645467E-03      1.552110E-02       6     1.0
      19             1        6.173922E-03      7.371463E-03       7     1.0
      20             1        5.557316E-03      8.444683E-03       7     1.0
      21             3        5.468683E-03      1.497567E-02       6     1.0
      22             1        4.738677E-03      9.159977E-03       7     1.0
      23             2        4.532675E-03      1.402456E-02       6     1.0
      24             2        4.338836E-03      9.519359E-03       7     1.0
      25             2        4.147362E-03      9.477320E-03       7     1.0
      26             1        4.119447E-03      6.397802E-03      10     1.0
